epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2892.89,1.00663,1.49374,0.00613,0.93605,0.90886,0.95899,0.7616,0.96012,1.37843,0.0102,0.000234068,0.000234068,0.000234068
77,2928.73,1.01428,1.55397,0.00594,0.93301,0.92272,0.96114,0.75915,0.96878,1.3628,0.0104,0.000225068,0.000225068,0.000225068
78,2964.68,1.00267,1.52655,0.00591,0.95564,0.90124,0.95847,0.75257,0.96661,1.40191,0.01042,0.000216069,0.000216069,0.000216069
79,3000.99,1.01096,1.54602,0.00597,0.92511,0.91463,0.96083,0.76147,0.95611,1.38087,0.0102,0.00020707,0.00020707,0.00020707
80,3037.16,0.99794,1.52679,0.00598,0.94407,0.89811,0.95968,0.75718,0.96253,1.36992,0.01034,0.000198071,0.000198071,0.000198071
81,3073.27,0.99553,1.46504,0.00581,0.93769,0.91556,0.95744,0.75862,0.96231,1.3659,0.01032,0.000189072,0.000189072,0.000189072
82,3109.4,0.97662,1.42822,0.00594,0.93296,0.91192,0.95707,0.75791,0.9532,1.34878,0.01012,0.000180073,0.000180073,0.000180073
83,3145.73,0.99071,1.44193,0.00584,0.94176,0.91938,0.96075,0.7619,0.95336,1.34984,0.01003,0.000171074,0.000171074,0.000171074
84,3181.95,1.01639,1.50107,0.00577,0.934,0.92847,0.95773,0.76511,0.94749,1.34442,0.00999,0.000162075,0.000162075,0.000162075
85,3217.99,0.98281,1.43648,0.00581,0.94303,0.91086,0.95813,0.75858,0.95796,1.36981,0.01019,0.000153076,0.000153076,0.000153076
86,3254.08,0.98971,1.45871,0.0058,0.94557,0.90928,0.95671,0.75503,0.95804,1.39017,0.01016,0.000144077,0.000144077,0.000144077
87,3289.97,0.98562,1.47817,0.00587,0.93845,0.91562,0.95965,0.75883,0.95872,1.37858,0.01017,0.000135077,0.000135077,0.000135077
88,3325.59,0.96899,1.42187,0.0056,0.96424,0.90516,0.95966,0.75924,0.954,1.36756,0.01017,0.000126078,0.000126078,0.000126078
89,3361.26,0.97779,1.43811,0.00579,0.95063,0.91749,0.96096,0.76013,0.94936,1.36823,0.01008,0.000117079,0.000117079,0.000117079
90,3403.64,0.98496,1.45076,0.00572,0.93204,0.91924,0.95898,0.76088,0.94653,1.38783,0.00991,0.00010808,0.00010808,0.00010808
91,3457.17,0.93278,1.18977,0.00581,0.93151,0.89708,0.9468,0.74284,0.98559,1.47581,0.01046,9.9081e-05,9.9081e-05,9.9081e-05
92,3495.02,0.91184,1.17101,0.00555,0.93595,0.8977,0.94878,0.74641,0.98032,1.42376,0.01042,9.00819e-05,9.00819e-05,9.00819e-05
93,3529.72,0.90752,1.15628,0.00547,0.93589,0.90155,0.94694,0.74608,0.97471,1.42759,0.01029,8.10828e-05,8.10828e-05,8.10828e-05
94,3564.36,0.88586,1.11278,0.00542,0.93392,0.91099,0.95063,0.75139,0.96532,1.44952,0.01023,7.20837e-05,7.20837e-05,7.20837e-05
95,3599.56,0.8906,1.11821,0.00537,0.93502,0.91585,0.95113,0.75231,0.96664,1.42581,0.01025,6.30846e-05,6.30846e-05,6.30846e-05
96,3634.66,0.89595,1.09987,0.00532,0.94402,0.91341,0.9532,0.75522,0.96163,1.40868,0.01017,5.40855e-05,5.40855e-05,5.40855e-05
97,3669.5,0.87894,1.10611,0.0052,0.93638,0.91589,0.95267,0.75415,0.96275,1.42686,0.01018,4.50864e-05,4.50864e-05,4.50864e-05
98,3704.5,0.87185,1.11178,0.00518,0.93093,0.91366,0.94965,0.75224,0.96614,1.43089,0.01019,3.60873e-05,3.60873e-05,3.60873e-05
99,3739.4,0.87092,1.06847,0.00524,0.93531,0.91731,0.94847,0.75356,0.96491,1.41917,0.01013,2.70882e-05,2.70882e-05,2.70882e-05
100,3774.34,0.88458,1.11855,0.00519,0.93224,0.9158,0.94912,0.75485,0.96096,1.42149,0.0101,1.80891e-05,1.80891e-05,1.80891e-05
